,mgr_r
1926-07,-0.010827385247813192
1926-08,0.10956671947087276
1926-09,0.01219114184255347
1926-10,0.0037294904917527212
1926-11,0.03804998676688418
1926-12,0.01238580246700413
1927-01,0.001153305047371998
1927-02,0.05471427826191182
1927-03,-0.02921985922089376
1927-04,0.038136518418153034
1927-05,0.09326374671429352
1927-06,0.007387305271148045
1927-07,0.03272214877304626
1927-08,0.008911148266152526
1927-09,0.05419118024515677
1927-10,-0.0027347963009853237
1927-11,0.04418466290594286
1927-12,0.055634211569660676
1928-01,0.007184864904234733
1928-02,-0.057502713281825706
1928-03,0.023805397183829367
1928-04,-0.028747874534685813
1928-05,-0.003185072437785763
1928-06,-0.045042163210702604
1928-07,0.028685235983037464
1928-08,0.06254628889670179
1928-09,-0.007474497137132871
1928-10,0.02640740298216006
1928-11,0.04504656151779311
1928-12,-0.02006519109708937
1929-01,0.0533899322438223
1929-02,-0.02295179765673059
1929-03,-0.025618191516917962
1929-04,0.0242767663667061
1929-05,-0.02938271838503111
1929-06,0.038014973437651894
1929-07,0.017835666783725418
1929-08,0.07929475860765364
1929-09,-0.043705689038201025
1929-10,-0.0682859406573421
1929-11,-0.053990063056697186
1929-12,0.035535113548193796
1930-01,0.004932341873491326
1930-02,0.026195259758958298
1930-03,-0.01872314519775343
1930-04,-0.05654675183170251
1930-05,-0.001329369171354922
1930-06,-0.12124149969370879
1930-07,0.03243656511097204
1930-08,0.06517048331593348
1930-09,-0.08988254145046623
1930-10,-0.023287267856316456
1930-11,0.0035564102464394768
1930-12,-0.051761782856497615
1931-01,0.0339917588023739
1931-02,0.09685923787554812
1931-03,-0.06122703785416418
1931-04,-0.04204950583544368
1931-05,-0.09213108681909846
1931-06,0.0985451691233523
1931-07,-0.05002415442510847
1931-08,0.010791681806503955
1931-09,-0.17934343967139188
1931-10,0.10224751282129887
1931-11,-0.05567575636427741
1931-12,-0.04852268072022872
1932-01,0.020364728771903665
1932-02,0.06668796950517614
1932-03,-0.06641509715461585
1932-04,-0.07412100322292417
1932-05,-0.18583419557925088
1932-06,0.08461653682712779
1932-07,0.17117752119159707
1932-08,0.2056987586684741
1932-09,-0.006774359855863291
1932-10,-0.1113944260242264
1932-11,-0.06425275508876291
1932-12,0.0200527580685979
1933-01,0.01009728565769398
1933-02,-0.08757071879308341
1933-03,0.12218738236479532
1933-04,0.24691813511050797
1933-05,0.30895063044131293
1933-06,0.1291988291185083
1933-07,-0.05278493368311477
