PERMNO,date,TICKER,RET,sprtrn
10107,2011-04-06,MSFT,0.014352,0.002184
10107,2011-04-07,MSFT,0.001912,-0.001520
10107,2011-04-08,MSFT,-0.004962,-0.004004
10107,2011-04-11,MSFT,-0.003452,-0.002793
10107,2011-04-12,MSFT,-0.013087,-0.007777
10107,2011-04-13,MSFT,-0.000390,0.000190
10107,2011-04-14,MSFT,-0.008193,0.000084
10107,2011-04-15,MSFT,-0.001967,0.003925
10107,2011-04-18,MSFT,-0.011431,-0.011018
10107,2011-04-19,MSFT,0.002791,0.005731
10107,2011-04-20,MSFT,0.024254,0.013515
10107,2011-04-21,MSFT,-0.009317,0.005277
10107,2011-04-25,MSFT,0.003527,-0.001593
10107,2011-04-26,MSFT,0.022647,0.008980
10107,2011-04-27,MSFT,0.007255,0.006250
10107,2011-04-28,MSFT,0.012509,0.003555
10107,2011-04-29,MSFT,-0.029577,0.002301
10107,2011-05-02,MSFT,-0.010031,-0.001753
10107,2011-05-03,MSFT,0.005846,-0.003379
10107,2011-05-04,MSFT,0.009686,-0.006855
10107,2011-05-05,MSFT,-0.010361,-0.009070
10107,2011-05-06,MSFT,0.003102,0.003820
10107,2011-05-09,MSFT,-0.001546,0.004544
10107,2011-05-10,MSFT,-0.006194,0.008074
10107,2011-05-11,MSFT,-0.012076,-0.011111
10107,2011-05-12,MSFT,-0.001577,0.004895
10107,2011-05-13,MSFT,-0.011453,-0.008067
10107,2011-05-16,MSFT,-0.018378,-0.006204
10107,2011-05-17,MSFT,0.004477,-0.000369
10107,2011-05-18,MSFT,0.006933,0.008804
10107,2011-05-19,MSFT,0.001013,0.002178
10107,2011-05-20,MSFT,-0.009104,-0.007688
10107,2011-05-23,MSFT,-0.013067,-0.011926
10107,2011-05-24,MSFT,-0.000827,-0.000827
10107,2011-05-25,MSFT,0.001656,0.003183
10107,2011-05-26,MSFT,0.019843,0.003953
10107,2011-05-27,MSFT,0.003648,0.004081
10107,2011-05-31,MSFT,0.010097,0.010593
10107,2011-06-01,MSFT,-0.023191,-0.022785
10107,2011-06-02,MSFT,-0.008596,-0.001225
10107,2011-06-03,MSFT,-0.013006,-0.009734
10107,2011-06-06,MSFT,0.004392,-0.010760
10107,2011-06-07,MSFT,0.002082,-0.000956
10107,2011-06-08,MSFT,-0.004987,-0.004187
10107,2011-06-09,MSFT,0.000835,0.007378
10107,2011-06-10,MSFT,-0.010643,-0.013980
10107,2011-06-13,MSFT,0.014132,0.000669
10107,2011-06-14,MSFT,0.007487,0.012612
10107,2011-06-15,MSFT,-0.019818,-0.017432
10107,2011-06-16,MSFT,0.010741,0.001754
10107,2011-06-17,MSFT,0.011044,0.003045
10107,2011-06-20,MSFT,0.008656,0.005395
10107,2011-06-21,MSFT,0.011851,0.013423
10107,2011-06-22,MSFT,-0.004443,-0.006468
10107,2011-06-23,MSFT,-0.000811,-0.002828
10107,2011-06-24,MSFT,-0.013398,-0.011726
